ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp,TrafficLevel,VehicleWeight,OccupancyRate,BasePrice,RawDemand,PriceMultiplier,Price
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,0.5,1.5,0.10571923743500866,10,0.5502837318718912,1.4513021247020648,14.513021247020648
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,0.5,1.5,0.11091854419410745,10,0.5508469150130413,1.4514980891542204,14.514980891542205
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,0.5,1.5,0.1386481802426343,10,0.6354001338539012,1.48056937355963,14.8056937355963
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,0.5,1.5,0.1854419410745234,10,0.6429828316663477,1.4831411332663869,14.831411332663869
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,0.5,1.0,0.25996533795493937,10,0.559579463380617,1.4545328459598454,14.545328459598455
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,0.5,1.5,0.30675909878682844,10,0.7303754617462139,1.5123314895047626,15.123314895047626
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,3.0,2.0,0.37954939341421146,10,2.4200566276436,1.8775159865750324,18.775159865750325
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,2.0,1.5,0.42807625649913345,10,1.598504671958624,1.7477139329662503,17.477139329662503
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,2016-10-04 11:59:00,2.0,0.5,0.4488734835355286,10,1.4076237333801283,1.7050863101716,17.050863101716
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,3.0,1.0,0.4610051993067591,10,2.304553539173166,1.8638801894647798,18.6388018946478
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,2016-10-04 13:02:00,3.0,1.5,0.4662045060658579,10,2.3834073558860123,1.8733298734608952,18.73329873460895
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,2016-10-04 13:29:00,3.0,1.5,0.4558058925476603,10,2.3786135409885416,1.8727728105369006,18.727728105369007
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016,14:02:00,2016-10-04 14:02:00,3.0,1.5,0.4124783362218371,10,2.3022668095837684,1.8635969018773968,18.635969018773967
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,04-10-2016,14:29:00,2016-10-04 14:29:00,2.0,2.0,0.37261698440207974,10,1.595208718180285,1.7470215076025886,17.470215076025887
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,04-10-2016,14:57:00,2016-10-04 14:57:00,2.0,1.0,0.3327556325823224,10,1.3811501651554658,1.698763487436449,16.98763487436449
